return_id,order_id,customer_id,return_date,reason,refund_amount,days_to_return
RET10882,ORD102235,CUST10052,2026-01-11,Wrong item received,474,2
RET10883,ORD102236,CUST11097,2026-01-24,Better price elsewhere,1911,5
RET10884,ORD102238,CUST10869,2026-03-09,Damaged in shipping,838,13
RET10885,ORD102240,CUST10238,2026-03-01,Better price elsewhere,50,2
RET10886,ORD102241,CUST10772,2026-02-09,Defective product,908,10
RET10887,ORD102242,CUST11528,2026-02-04,Changed mind,20085,8
RET10888,ORD102243,CUST10003,2026-02-01,Damaged in shipping,75760,11
RET10889,ORD102245,CUST10275,2026-03-01,Quality not as expected,179,5
RET10890,ORD102249,CUST11824,2026-02-08,Wrong item received,2107,7
RET10891,ORD102252,CUST10246,2026-01-23,Quality not as expected,1381,4
RET10892,ORD102254,CUST10128,2026-02-03,Better price elsewhere,1871,14
RET10893,ORD102255,CUST10889,2026-02-01,Damaged in shipping,2264,12
RET10894,ORD102256,CUST11656,2026-02-23,Product not as described,907,1
RET10895,ORD102257,CUST11125,2026-01-27,Defective product,234,11
RET10896,ORD102269,CUST10985,2026-01-26,Damaged in shipping,489,14
RET10897,ORD102271,CUST11959,2026-01-07,Quality not as expected,21015,2
RET10898,ORD102273,CUST10765,2026-02-04,Damaged in shipping,1190,4
RET10899,ORD102276,CUST11207,2026-01-29,Wrong item received,2904,8
RET10900,ORD102278,CUST10028,2026-01-29,Changed mind,462,8
RET10901,ORD102280,CUST11052,2026-01-07,Size/fit issue,1012,3
RET10902,ORD102282,CUST11426,2026-02-07,Better price elsewhere,205,7
RET10903,ORD102284,CUST10188,2026-01-13,Wrong item received,461,8
RET10904,ORD102285,CUST10887,2026-02-08,Better price elsewhere,562,4
RET10905,ORD102286,CUST11292,2026-02-23,Product not as described,1105,2
RET10906,ORD102288,CUST10199,2026-02-17,Changed mind,50,8
RET10907,ORD102289,CUST11292,2026-01-22,Defective product,11479,1
RET10908,ORD102292,CUST10004,2026-03-02,Size/fit issue,1225,5
RET10909,ORD102293,CUST11184,2026-01-21,Damaged in shipping,839,8
RET10910,ORD102294,CUST11656,2026-01-08,Product not as described,413,3
RET10911,ORD102295,CUST10539,2026-02-27,Better price elsewhere,790,12
RET10912,ORD102296,CUST10827,2026-01-15,Size/fit issue,362,11
RET10913,ORD102299,CUST11382,2026-03-08,Changed mind,1358,8
RET10914,ORD102300,CUST10590,2026-01-19,Wrong item received,28834,12
RET10915,ORD102302,CUST10075,2026-02-01,Better price elsewhere,31461,11
RET10916,ORD102304,CUST10195,2026-01-27,Quality not as expected,615,1
RET10917,ORD102307,CUST10076,2026-02-02,Size/fit issue,689,12
RET10918,ORD102309,CUST10096,2026-01-29,Defective product,366,4
RET10919,ORD102310,CUST10056,2026-02-14,Better price elsewhere,2515,2
RET10920,ORD102311,CUST11741,2026-01-21,Defective product,135,13
RET10921,ORD102312,CUST11094,2026-01-25,Wrong item received,642,11
RET10922,ORD102314,CUST10371,2026-01-26,Size/fit issue,39948,1
RET10923,ORD102315,CUST11631,2026-01-19,Quality not as expected,1440,8
RET10924,ORD102317,CUST11391,2026-01-24,Quality not as expected,734,2
RET10925,ORD102318,CUST10623,2026-02-12,Defective product,60,10
RET10926,ORD102319,CUST11582,2026-01-29,Better price elsewhere,22507,9
RET10927,ORD102321,CUST11048,2026-01-29,Quality not as expected,91293,1
RET10928,ORD102324,CUST11280,2026-03-05,Damaged in shipping,906,8
RET10929,ORD102329,CUST10759,2026-01-26,Damaged in shipping,2440,4
RET10930,ORD102333,CUST10215,2026-02-08,Size/fit issue,825,8
RET10931,ORD102334,CUST10448,2026-02-02,Size/fit issue,373,7
RET10932,ORD102335,CUST10326,2026-03-04,Better price elsewhere,443,6
RET10933,ORD102336,CUST11943,2026-02-23,Defective product,1850,5
RET10934,ORD102342,CUST11011,2026-02-13,Quality not as expected,50,6
RET10935,ORD102344,CUST11312,2026-03-08,Changed mind,1871,11
RET10936,ORD102345,CUST11912,2026-01-16,Damaged in shipping,947,3
RET10937,ORD102348,CUST11024,2026-02-06,Damaged in shipping,779,9
RET10938,ORD102349,CUST11183,2026-01-30,Damaged in shipping,50,3
RET10939,ORD102352,CUST10850,2026-02-05,Changed mind,50,13
RET10940,ORD102353,CUST10207,2026-03-01,Size/fit issue,824,2
RET10941,ORD102355,CUST10047,2026-03-07,Product not as described,284,14
RET10942,ORD102356,CUST10267,2026-01-13,Changed mind,1638,9
RET10943,ORD102357,CUST11587,2026-02-22,Size/fit issue,2594,3
RET10944,ORD102358,CUST10195,2026-02-06,Defective product,1381,2
RET10945,ORD102360,CUST11138,2026-01-16,Wrong item received,757,7
RET10946,ORD102361,CUST10563,2026-01-22,Defective product,1879,8
RET10947,ORD102363,CUST11603,2026-01-31,Wrong item received,412,2
RET10948,ORD102365,CUST10795,2026-02-21,Changed mind,4215,7
RET10949,ORD102366,CUST11537,2026-01-23,Damaged in shipping,1911,9
RET10950,ORD102367,CUST11224,2026-02-09,Damaged in shipping,22450,10
RET10951,ORD102369,CUST10023,2026-01-28,Size/fit issue,50,2
RET10952,ORD102370,CUST11035,2026-02-19,Quality not as expected,1774,7
RET10953,ORD102374,CUST10447,2026-01-28,Changed mind,13036,13
RET10954,ORD102375,CUST10214,2026-02-08,Wrong item received,952,14
RET10955,ORD102379,CUST10398,2026-01-20,Quality not as expected,2452,5
RET10956,ORD102380,CUST10556,2026-02-04,Damaged in shipping,50,4
RET10957,ORD102382,CUST11092,2026-01-15,Wrong item received,179,8
RET10958,ORD102383,CUST11690,2026-02-11,Better price elsewhere,940,7
RET10959,ORD102386,CUST10514,2026-02-06,Product not as described,13232,2
RET10960,ORD102389,CUST11830,2026-01-06,Wrong item received,1107,3
RET10961,ORD102390,CUST11150,2026-03-12,Wrong item received,2594,14
RET10962,ORD102394,CUST11731,2026-01-25,Changed mind,1389,12
RET10963,ORD102395,CUST11833,2026-01-30,Better price elsewhere,264,8
RET10964,ORD102396,CUST11818,2026-01-16,Wrong item received,50,12
RET10965,ORD102397,CUST10404,2026-01-31,Wrong item received,135,3
RET10966,ORD102401,CUST10663,2026-02-01,Changed mind,45939,1
RET10967,ORD102402,CUST11437,2026-01-11,Defective product,204,5
RET10968,ORD102407,CUST10592,2026-01-22,Product not as described,23456,14
RET10969,ORD102410,CUST11582,2026-02-10,Quality not as expected,500,2
RET10970,ORD102415,CUST11346,2026-01-13,Product not as described,1638,5
RET10971,ORD102416,CUST10586,2026-01-25,Wrong item received,483,9
RET10972,ORD102417,CUST10243,2026-01-21,Defective product,494,2
RET10973,ORD102419,CUST10678,2026-02-08,Product not as described,273,12
RET10974,ORD102420,CUST11977,2026-01-20,Size/fit issue,1530,8
RET10975,ORD102421,CUST10832,2026-01-19,Changed mind,322,2
RET10976,ORD102422,CUST10342,2026-01-20,Damaged in shipping,1006,8
RET10977,ORD102423,CUST11514,2026-03-06,Damaged in shipping,1725,7
RET10978,ORD102424,CUST10284,2026-01-27,Quality not as expected,296,3
RET10979,ORD102427,CUST11066,2026-03-11,Defective product,16045,11
RET10980,ORD102433,CUST11744,2026-02-08,Wrong item received,443,10
RET10981,ORD102434,CUST10933,2026-02-03,Better price elsewhere,50,9
RET10982,ORD102435,CUST10829,2026-01-07,Damaged in shipping,14417,5
RET10983,ORD102436,CUST11789,2026-02-06,Defective product,1648,6
RET10984,ORD102438,CUST10227,2026-01-26,Quality not as expected,93,11
RET10985,ORD102440,CUST11763,2026-01-29,Product not as described,638,12
RET10986,ORD102444,CUST10556,2026-02-28,Changed mind,1047,7
RET10987,ORD102449,CUST10358,2026-01-12,Damaged in shipping,1866,2
RET10988,ORD102454,CUST11239,2026-01-22,Better price elsewhere,3067,14
RET10989,ORD102457,CUST10397,2026-03-05,Better price elsewhere,843,14
RET10990,ORD102462,CUST11073,2026-01-14,Wrong item received,3785,12
RET10991,ORD102463,CUST11106,2026-03-02,Quality not as expected,824,6
RET10992,ORD102464,CUST11832,2026-01-09,Better price elsewhere,1685,2
RET10993,ORD102466,CUST10617,2026-02-19,Wrong item received,16574,10
RET10994,ORD102479,CUST11131,2026-02-04,Wrong item received,1006,12
RET10995,ORD102480,CUST11213,2026-01-30,Quality not as expected,728,10
RET10996,ORD102482,CUST11832,2026-01-13,Product not as described,1346,12
RET10997,ORD102486,CUST10679,2026-02-01,Wrong item received,2107,2
RET10998,ORD102487,CUST10926,2026-01-22,Size/fit issue,82523,4
RET10999,ORD102490,CUST11359,2026-01-08,Product not as described,1378,3
RET11000,ORD102492,CUST10450,2026-01-08,Quality not as expected,5286,6
RET11001,ORD102493,CUST10398,2026-02-21,Quality not as expected,466,5
RET11002,ORD102494,CUST11257,2026-02-22,Size/fit issue,2382,12
RET11003,ORD102495,CUST10814,2026-01-20,Size/fit issue,17771,2
RET11004,ORD102496,CUST11760,2026-01-15,Wrong item received,13232,3
RET11005,ORD102497,CUST11794,2026-01-13,Defective product,425,12
RET11006,ORD102499,CUST10435,2026-02-12,Size/fit issue,2439,10
RET11007,ORD102501,CUST10630,2026-02-19,Wrong item received,248,3
RET11008,ORD102505,CUST10356,2026-02-13,Quality not as expected,20488,12
RET11009,ORD102506,CUST10775,2026-01-20,Product not as described,906,9
RET11010,ORD102508,CUST11562,2026-01-20,Product not as described,1440,5
RET11011,ORD102512,CUST10463,2026-01-31,Changed mind,50,13
RET11012,ORD102513,CUST11696,2026-02-19,Quality not as expected,75760,11
RET11013,ORD102518,CUST11853,2026-01-31,Better price elsewhere,707,8
RET11014,ORD102522,CUST10441,2026-03-07,Quality not as expected,22873,12
RET11015,ORD102524,CUST10015,2026-01-23,Quality not as expected,443,13
RET11016,ORD102525,CUST10195,2026-02-12,Size/fit issue,794,5
RET11017,ORD102528,CUST10997,2026-02-13,Defective product,239,5
RET11018,ORD102533,CUST10754,2026-02-22,Damaged in shipping,242,14
RET11019,ORD102536,CUST11488,2026-01-22,Quality not as expected,22507,8
RET11020,ORD102549,CUST11632,2026-02-18,Changed mind,413,9
RET11021,ORD102550,CUST10270,2026-01-09,Better price elsewhere,5285,4
RET11022,ORD102553,CUST10418,2026-01-19,Product not as described,847,3
RET11023,ORD102554,CUST10406,2026-02-10,Wrong item received,2466,9
RET11024,ORD102555,CUST10728,2026-01-24,Size/fit issue,1703,14
RET11025,ORD102556,CUST10282,2026-03-03,Better price elsewhere,20085,9
RET11026,ORD102557,CUST11325,2026-02-01,Defective product,50,8
RET11027,ORD102558,CUST11866,2026-01-19,Wrong item received,284,13
RET11028,ORD102560,CUST10082,2026-02-22,Wrong item received,50,5
RET11029,ORD102569,CUST11072,2026-01-05,Product not as described,75760,2
RET11030,ORD102570,CUST11595,2026-02-22,Better price elsewhere,1381,10
RET11031,ORD102573,CUST11784,2026-02-07,Better price elsewhere,10757,14
RET11032,ORD102574,CUST10295,2026-01-21,Wrong item received,1002,9
RET11033,ORD102575,CUST11931,2026-01-20,Wrong item received,45260,5
RET11034,ORD102576,CUST11001,2026-03-02,Product not as described,476,7
RET11035,ORD102586,CUST11537,2026-03-05,Better price elsewhere,703,7
RET11036,ORD102590,CUST11774,2026-01-10,Size/fit issue,2542,5
RET11037,ORD102592,CUST11845,2026-01-21,Size/fit issue,429,9
RET11038,ORD102594,CUST10587,2026-02-05,Quality not as expected,1107,13
RET11039,ORD102598,CUST10599,2026-02-09,Wrong item received,908,4
RET11040,ORD102602,CUST10819,2026-03-02,Changed mind,50,14
RET11041,ORD102603,CUST10809,2026-01-30,Product not as described,367,3
RET11042,ORD102606,CUST10283,2026-03-02,Changed mind,204,10
RET11043,ORD102609,CUST10259,2026-03-07,Product not as described,46164,13
RET11044,ORD102611,CUST11541,2026-02-08,Better price elsewhere,50151,11
RET11045,ORD102613,CUST11021,2026-02-23,Wrong item received,45490,6
RET11046,ORD102614,CUST11428,2026-02-08,Size/fit issue,1823,14
RET11047,ORD102616,CUST11878,2026-03-07,Defective product,128,8
RET11048,ORD102621,CUST11859,2026-01-16,Damaged in shipping,940,2
RET11049,ORD102623,CUST10221,2026-01-24,Quality not as expected,1782,2
RET11050,ORD102625,CUST11107,2026-01-07,Better price elsewhere,270,3
RET11051,ORD102628,CUST10577,2026-01-21,Quality not as expected,29818,3
RET11052,ORD102629,CUST10713,2026-01-28,Product not as described,1911,3
RET11053,ORD102630,CUST10155,2026-01-20,Better price elsewhere,1190,6
RET11054,ORD102632,CUST11054,2026-01-25,Defective product,297,11
RET11055,ORD102634,CUST10086,2026-02-24,Quality not as expected,734,14
RET11056,ORD102636,CUST10577,2026-01-18,Size/fit issue,703,10
RET11057,ORD102637,CUST11670,2026-02-08,Wrong item received,434,3
RET11058,ORD102638,CUST10186,2026-02-18,Damaged in shipping,838,10
RET11059,ORD102639,CUST11819,2026-02-22,Wrong item received,50,2
RET11060,ORD102641,CUST10990,2026-01-19,Quality not as expected,838,12
RET11061,ORD102643,CUST10231,2026-02-15,Changed mind,239,9
RET11062,ORD102645,CUST11359,2026-01-18,Better price elsewhere,863,7
RET11063,ORD102646,CUST11781,2026-02-19,Defective product,1661,3
RET11064,ORD102652,CUST10578,2026-02-08,Changed mind,371,14
RET11065,ORD102654,CUST10686,2026-01-15,Damaged in shipping,1378,12
RET11066,ORD102655,CUST10676,2026-02-24,Wrong item received,899,2
RET11067,ORD102656,CUST10871,2026-02-10,Damaged in shipping,1565,5
RET11068,ORD102658,CUST10013,2026-02-23,Size/fit issue,39019,3
RET11069,ORD102659,CUST10418,2026-03-02,Changed mind,690,3
RET11070,ORD102661,CUST10522,2026-01-19,Better price elsewhere,847,14
RET11071,ORD102663,CUST11932,2026-02-08,Quality not as expected,1685,11
RET11072,ORD102665,CUST11927,2026-01-07,Product not as described,1075,6
RET11073,ORD102666,CUST10256,2026-02-24,Damaged in shipping,19032,8
RET11074,ORD102674,CUST10098,2026-01-13,Changed mind,1285,3
RET11075,ORD102678,CUST10961,2026-02-26,Changed mind,2515,8
RET11076,ORD102680,CUST10221,2026-01-31,Wrong item received,907,7
RET11077,ORD102682,CUST10832,2026-01-05,Changed mind,17771,2
RET11078,ORD102683,CUST11481,2026-02-01,Quality not as expected,312,7
RET11079,ORD102684,CUST10398,2026-02-22,Size/fit issue,443,3
RET11080,ORD102686,CUST11917,2026-02-28,Defective product,2904,5
RET11081,ORD102688,CUST10401,2026-02-12,Damaged in shipping,871,13
RET11082,ORD102691,CUST10043,2026-02-23,Quality not as expected,20712,9
RET11083,ORD102692,CUST11375,2026-02-02,Quality not as expected,56737,6
RET11084,ORD102694,CUST10169,2026-02-05,Changed mind,42753,14
RET11085,ORD102696,CUST11451,2026-03-10,Changed mind,1716,10
RET11086,ORD102702,CUST10733,2026-03-01,Better price elsewhere,1934,2
RET11087,ORD102703,CUST10382,2026-01-30,Quality not as expected,22450,11
RET11088,ORD102706,CUST11297,2026-03-08,Defective product,46164,12
RET11089,ORD102710,CUST10747,2026-03-02,Wrong item received,50,11
RET11090,ORD102713,CUST10005,2026-03-06,Quality not as expected,26725,13
RET11091,ORD102714,CUST11803,2026-02-26,Defective product,474,13
RET11092,ORD102718,CUST11568,2026-02-01,Wrong item received,17729,14
RET11093,ORD102719,CUST10293,2026-02-28,Damaged in shipping,1012,2
RET11094,ORD102720,CUST11954,2026-01-18,Quality not as expected,461,5
RET11095,ORD102721,CUST10480,2026-03-11,Defective product,843,12
RET11096,ORD102722,CUST11342,2026-01-17,Damaged in shipping,13232,3
RET11097,ORD102724,CUST10183,2026-01-13,Damaged in shipping,42753,9
RET11098,ORD102731,CUST11273,2026-01-19,Wrong item received,88796,4
RET11099,ORD102732,CUST10537,2026-01-28,Better price elsewhere,2426,13
RET11100,ORD102736,CUST10714,2026-03-04,Wrong item received,2802,7
RET11101,ORD102737,CUST11597,2026-03-03,Product not as described,1871,4
RET11102,ORD102748,CUST11663,2026-02-11,Product not as described,1682,14
RET11103,ORD102750,CUST11347,2026-02-12,Defective product,351,8
RET11104,ORD102753,CUST10941,2026-02-05,Defective product,910,10
RET11105,ORD102755,CUST11054,2026-02-18,Quality not as expected,2594,4
RET11106,ORD102756,CUST11167,2026-02-22,Defective product,596,8
RET11107,ORD102758,CUST10346,2026-02-15,Damaged in shipping,60,10
RET11108,ORD102760,CUST11158,2026-01-20,Product not as described,205,13
RET11109,ORD102761,CUST10699,2026-02-02,Defective product,1459,2
RET11110,ORD102762,CUST10311,2026-01-25,Defective product,1143,4
RET11111,ORD102767,CUST11939,2026-01-30,Damaged in shipping,871,5
RET11112,ORD102769,CUST11208,2026-02-28,Changed mind,1493,3
RET11113,ORD102770,CUST10811,2026-02-28,Defective product,1316,7
RET11114,ORD102775,CUST11217,2026-02-21,Size/fit issue,807,11
RET11115,ORD102777,CUST10715,2026-02-12,Quality not as expected,1195,13
RET11116,ORD102779,CUST10401,2026-01-14,Changed mind,1071,6
RET11117,ORD102780,CUST11796,2026-01-29,Product not as described,317,7
RET11118,ORD102783,CUST10822,2026-02-24,Better price elsewhere,1530,13
RET11119,ORD102784,CUST10371,2026-01-18,Wrong item received,2382,3
RET11120,ORD102785,CUST11238,2026-02-27,Defective product,669,5
RET11121,ORD102786,CUST11148,2026-01-31,Wrong item received,824,6
RET11122,ORD102788,CUST10040,2026-01-20,Better price elsewhere,217,11
RET11123,ORD102790,CUST10531,2026-03-03,Product not as described,838,10
RET11124,ORD102791,CUST10744,2026-02-14,Changed mind,2622,14
RET11125,ORD102797,CUST11849,2026-02-28,Damaged in shipping,724,8
RET11126,ORD102798,CUST11322,2026-01-31,Size/fit issue,9285,14
RET11127,ORD102799,CUST10520,2026-02-24,Defective product,29925,8
RET11128,ORD102800,CUST10779,2026-02-03,Wrong item received,726,6
RET11129,ORD102802,CUST11037,2026-02-23,Changed mind,863,3
RET11130,ORD102804,CUST11341,2026-02-06,Defective product,322,9
RET11131,ORD102805,CUST11750,2026-02-26,Defective product,430,3
RET11132,ORD102807,CUST10641,2026-01-20,Wrong item received,3785,10
RET11133,ORD102808,CUST11357,2026-02-13,Damaged in shipping,425,14
RET11134,ORD102813,CUST11222,2026-01-24,Size/fit issue,536,2
RET11135,ORD102818,CUST10937,2026-01-22,Defective product,367,4
RET11136,ORD102823,CUST10494,2026-01-14,Changed mind,1094,12
RET11137,ORD102825,CUST10725,2026-02-20,Changed mind,50,7
RET11138,ORD102827,CUST10703,2026-02-14,Defective product,827,2
RET11139,ORD102828,CUST11151,2026-02-03,Defective product,2515,14
RET11140,ORD102831,CUST11406,2026-02-20,Quality not as expected,358,7
RET11141,ORD102832,CUST10458,2026-02-15,Defective product,296,14
RET11142,ORD102833,CUST10385,2026-02-26,Defective product,2090,5
RET11143,ORD102838,CUST11855,2026-02-26,Wrong item received,234,5
RET11144,ORD102846,CUST11410,2026-02-18,Changed mind,1536,4
RET11145,ORD102847,CUST11566,2026-01-11,Product not as described,430,2
RET11146,ORD102848,CUST10851,2026-01-15,Size/fit issue,31967,2
RET11147,ORD102849,CUST10512,2026-01-21,Quality not as expected,16229,14
RET11148,ORD102852,CUST11558,2026-01-25,Better price elsewhere,428,8
RET11149,ORD102853,CUST11542,2026-01-10,Size/fit issue,428,8
RET11150,ORD102854,CUST11046,2026-03-02,Better price elsewhere,3937,10
RET11151,ORD102856,CUST10868,2026-01-27,Size/fit issue,728,12
RET11152,ORD102858,CUST11728,2026-02-12,Quality not as expected,1832,3
RET11153,ORD102860,CUST10636,2026-01-13,Damaged in shipping,847,10
RET11154,ORD102863,CUST11950,2026-01-25,Product not as described,1038,11
RET11155,ORD102865,CUST10631,2026-01-29,Quality not as expected,633,6
RET11156,ORD102866,CUST11346,2026-02-15,Quality not as expected,718,4
RET11157,ORD102869,CUST11132,2026-02-24,Changed mind,653,4
RET11158,ORD102872,CUST10378,2026-02-18,Defective product,1025,9
RET11159,ORD102875,CUST11324,2026-01-30,Size/fit issue,1685,14
RET11160,ORD102877,CUST11815,2026-02-24,Damaged in shipping,50,11
RET11161,ORD102879,CUST10656,2026-02-01,Changed mind,824,5
RET11162,ORD102885,CUST11679,2026-01-22,Damaged in shipping,1745,12
RET11163,ORD102887,CUST11611,2026-02-04,Defective product,1281,6
RET11164,ORD102889,CUST11582,2026-02-03,Better price elsewhere,50,11
RET11165,ORD102892,CUST10764,2026-01-20,Product not as described,50,7
RET11166,ORD102893,CUST10561,2026-01-15,Changed mind,847,11
RET11167,ORD102897,CUST10436,2026-01-23,Quality not as expected,500,3
RET11168,ORD102901,CUST11599,2026-02-25,Wrong item received,2146,5
RET11169,ORD102902,CUST10835,2026-02-19,Better price elsewhere,2466,5
RET11170,ORD102904,CUST11456,2026-01-19,Defective product,45490,9
RET11171,ORD102905,CUST10868,2026-02-04,Better price elsewhere,10198,2
RET11172,ORD102907,CUST10914,2026-01-12,Damaged in shipping,535,7
RET11173,ORD102908,CUST11536,2026-01-10,Changed mind,207,3
RET11174,ORD102911,CUST10481,2026-02-15,Quality not as expected,205,3
RET11175,ORD102912,CUST11630,2026-01-14,Quality not as expected,1832,2
RET11176,ORD102913,CUST11126,2026-01-26,Better price elsewhere,88796,13
RET11177,ORD102919,CUST11511,2026-02-20,Better price elsewhere,1638,12
RET11178,ORD102920,CUST11534,2026-02-12,Wrong item received,770,5
RET11179,ORD102921,CUST10877,2026-01-20,Damaged in shipping,562,8
RET11180,ORD102922,CUST10047,2026-01-12,Changed mind,242,3
RET11181,ORD102923,CUST11431,2026-01-12,Product not as described,302,5
RET11182,ORD102925,CUST10494,2026-02-19,Size/fit issue,12423,14
RET11183,ORD102928,CUST10165,2026-01-11,Quality not as expected,796,3
RET11184,ORD102929,CUST11274,2026-03-01,Wrong item received,4324,8
RET11185,ORD102930,CUST10531,2026-01-28,Changed mind,106577,4
RET11186,ORD102932,CUST10693,2026-03-02,Better price elsewhere,71,8
RET11187,ORD102937,CUST10820,2026-01-19,Quality not as expected,2324,10
RET11188,ORD102939,CUST10762,2026-02-13,Better price elsewhere,1036,12
RET11189,ORD102941,CUST11530,2026-03-03,Quality not as expected,128,9
RET11190,ORD102949,CUST10380,2026-02-13,Changed mind,17771,11
RET11191,ORD102951,CUST11816,2026-01-29,Changed mind,50,2
RET11192,ORD102952,CUST10055,2026-01-19,Size/fit issue,208,2
RET11193,ORD102954,CUST11045,2026-02-01,Damaged in shipping,640,1
RET11194,ORD102956,CUST10006,2026-01-28,Quality not as expected,50,10
RET11195,ORD102959,CUST11180,2026-01-17,Quality not as expected,3937,5
RET11196,ORD102963,CUST10131,2026-03-08,Changed mind,520,8
RET11197,ORD102964,CUST10772,2026-02-26,Wrong item received,264,13
RET11198,ORD102967,CUST10041,2026-02-15,Size/fit issue,3171,11
RET11199,ORD102970,CUST11386,2026-02-06,Size/fit issue,703,3
RET11200,ORD102972,CUST11278,2026-01-15,Quality not as expected,1112,11
RET11201,ORD102973,CUST11904,2026-01-17,Better price elsewhere,78,8
RET11202,ORD102974,CUST10254,2026-02-01,Better price elsewhere,248,14
RET11203,ORD102977,CUST11926,2026-01-09,Better price elsewhere,557,8
RET11204,ORD102979,CUST10832,2026-01-27,Changed mind,293,11
RET11205,ORD102980,CUST10835,2026-03-02,Wrong item received,925,7
RET11206,ORD102982,CUST11675,2026-02-24,Damaged in shipping,790,7
RET11207,ORD102991,CUST10863,2026-01-16,Quality not as expected,50,8
RET11208,ORD102992,CUST10157,2026-02-21,Damaged in shipping,29149,12
RET11209,ORD102997,CUST10699,2026-01-31,Size/fit issue,199,4
RET11210,ORD102999,CUST10313,2026-03-05,Quality not as expected,562,9
RET11211,ORD103000,CUST11500,2026-02-16,Defective product,1478,8
RET11212,ORD103001,CUST10297,2026-02-03,Defective product,1107,13
RET11213,ORD103002,CUST10216,2026-03-03,Quality not as expected,564,10
RET11214,ORD103009,CUST11425,2026-02-02,Quality not as expected,10198,7
RET11215,ORD103010,CUST11225,2026-02-01,Changed mind,394,9
RET11216,ORD103016,CUST11332,2026-02-03,Defective product,134,6
RET11217,ORD103020,CUST11438,2026-02-08,Quality not as expected,22450,9
RET11218,ORD103021,CUST11590,2026-01-19,Changed mind,557,6
RET11219,ORD103031,CUST10378,2026-01-27,Size/fit issue,886,11
RET11220,ORD103033,CUST11114,2026-02-23,Changed mind,384,12
RET11221,ORD103034,CUST10549,2026-01-30,Size/fit issue,483,11
RET11222,ORD103035,CUST10318,2026-02-24,Changed mind,1395,12
RET11223,ORD103038,CUST10718,2026-03-12,Better price elsewhere,838,13
RET11224,ORD103039,CUST11368,2026-02-03,Damaged in shipping,474,1
RET11225,ORD103040,CUST10133,2026-02-01,Product not as described,284,5
RET11226,ORD103048,CUST10055,2026-01-21,Damaged in shipping,1702,8
RET11227,ORD103050,CUST11183,2026-01-14,Changed mind,1105,2
RET11228,ORD103051,CUST11959,2026-01-18,Size/fit issue,653,2
RET11229,ORD103058,CUST11338,2026-03-03,Quality not as expected,2873,7
RET11230,ORD103059,CUST10004,2026-01-30,Changed mind,20085,2
RET11231,ORD103060,CUST11049,2026-01-15,Product not as described,500,2
RET11232,ORD103062,CUST11059,2026-02-10,Better price elsewhere,1569,2
RET11233,ORD103063,CUST10487,2026-01-28,Damaged in shipping,627,14
RET11234,ORD103065,CUST11848,2026-01-18,Defective product,1850,1
RET11235,ORD103067,CUST11662,2026-01-26,Damaged in shipping,443,14
RET11236,ORD103068,CUST11489,2026-01-17,Wrong item received,1094,5
RET11237,ORD103069,CUST11270,2026-01-17,Size/fit issue,1362,8
RET11238,ORD103070,CUST10042,2026-01-30,Product not as described,434,12
RET11239,ORD103071,CUST11681,2026-01-10,Better price elsewhere,214,8
RET11240,ORD103075,CUST11165,2026-03-01,Quality not as expected,354,8
RET11241,ORD103076,CUST10580,2026-01-26,Changed mind,1358,12
RET11242,ORD103078,CUST10529,2026-01-09,Quality not as expected,1871,1
RET11243,ORD103082,CUST10562,2026-02-22,Defective product,734,5
RET11244,ORD103085,CUST10935,2026-02-03,Wrong item received,824,7
RET11245,ORD103086,CUST11434,2026-03-09,Damaged in shipping,2802,13
RET11246,ORD103088,CUST11859,2026-01-20,Product not as described,742,14
RET11247,ORD103089,CUST11553,2026-03-07,Better price elsewhere,50,14
RET11248,ORD103090,CUST10210,2026-01-29,Quality not as expected,284,3
RET11249,ORD103094,CUST11006,2026-01-27,Defective product,330,8
RET11250,ORD103099,CUST11322,2026-02-23,Changed mind,847,3
RET11251,ORD103103,CUST11628,2026-02-08,Defective product,1094,11
RET11252,ORD103104,CUST11702,2026-02-08,Damaged in shipping,838,4
RET11253,ORD103105,CUST11641,2026-01-18,Product not as described,285,10
RET11254,ORD103106,CUST11729,2026-01-30,Damaged in shipping,1891,8
RET11255,ORD103107,CUST11765,2026-03-07,Wrong item received,40731,11
RET11256,ORD103110,CUST11053,2026-01-08,Damaged in shipping,35998,3
RET11257,ORD103111,CUST11059,2026-01-24,Size/fit issue,27054,5
RET11258,ORD103112,CUST11553,2026-01-30,Defective product,779,3
RET11259,ORD103118,CUST10003,2026-01-25,Quality not as expected,1275,6
RET11260,ORD103121,CUST11073,2026-02-21,Defective product,907,3
RET11261,ORD103122,CUST11825,2026-02-04,Wrong item received,50,10
RET11262,ORD103124,CUST10519,2026-02-19,Size/fit issue,9285,6
RET11263,ORD103126,CUST11530,2026-02-26,Quality not as expected,88796,11
RET11264,ORD103131,CUST10617,2026-03-06,Damaged in shipping,673,9
RET11265,ORD103133,CUST10846,2026-01-13,Defective product,262,4
RET11266,ORD103135,CUST11043,2026-03-02,Quality not as expected,2244,3
RET11267,ORD103138,CUST10490,2026-01-25,Better price elsewhere,217,6
RET11268,ORD103145,CUST10164,2026-02-22,Defective product,642,14
RET11269,ORD103146,CUST10409,2026-01-08,Size/fit issue,459,2
RET11270,ORD103150,CUST11169,2026-01-22,Quality not as expected,837,4
RET11271,ORD103151,CUST11630,2026-01-28,Changed mind,122054,4
